hire_month,business_unit,location,skill_family,clearance_type,days_to_fill
2024-04,Missiles & Fire Control,"Orlando, FL",Data Science & Analytics,Secret,59
2024-04,Space,"Bethesda, MD",Manufacturing Operations,Secret,93
2024-04,Space,"Bethesda, MD",Program / Project Management,Secret,76
2024-04,Rotary & Mission Systems,"Bethesda, MD",Software Engineering,None,59
2024-04,Space,Remote-Eligible,Finance & Accounting,Top Secret,90
2024-04,Missiles & Fire Control,"Huntsville, AL",Program / Project Management,Secret,76
2024-04,Aeronautics,"Grand Prairie, TX",Program / Project Management,Secret,99
2024-04,Aeronautics,"Fort Worth, TX",Software Engineering,None,68
2024-04,Rotary & Mission Systems,"Denver, CO",Data Science & Analytics,None,84
2024-04,Corporate Shared Services,Remote-Eligible,Cybersecurity,Top Secret,121
2024-04,Aeronautics,Remote-Eligible,HR / People Analytics,Secret,87
2024-04,Rotary & Mission Systems,"Orlando, FL",Electrical Engineering,Public Trust,93
2024-04,Space,"Orlando, FL",Manufacturing Operations,Secret,87
2024-04,Missiles & Fire Control,"Fort Worth, TX",Data Science & Analytics,Secret,92
2024-04,Space,"Orlando, FL",Systems Engineering,TS/SCI,121
2024-04,Missiles & Fire Control,"Denver, CO",Mechanical Engineering,Public Trust,69
2024-04,Corporate Shared Services,"Denver, CO",Software Engineering,Top Secret,95
2024-04,Rotary & Mission Systems,"Grand Prairie, TX",Manufacturing Operations,None,73
2024-04,Rotary & Mission Systems,"Grand Prairie, TX",Electrical Engineering,Secret,64
2024-04,Aeronautics,"Huntsville, AL",Program / Project Management,Secret,91
2024-04,Rotary & Mission Systems,"Sunnyvale, CA",Cybersecurity,None,57
2024-04,Corporate Shared Services,"Huntsville, AL",Finance & Accounting,None,76
2024-04,Aeronautics,Remote-Eligible,Supply Chain,Secret,91
2024-04,Space,"Grand Prairie, TX",Program / Project Management,TS/SCI,151
2024-04,Rotary & Mission Systems,"Orlando, FL",Systems Engineering,Secret,91
2024-04,Space,Remote-Eligible,Data Science & Analytics,TS/SCI,103
2024-04,Space,"Bethesda, MD",Software Engineering,Top Secret,104
2024-04,Rotary & Mission Systems,"Grand Prairie, TX",Software Engineering,Secret,64
2024-04,Missiles & Fire Control,"Denver, CO",Electrical Engineering,Top Secret,97
2024-04,Space,"Denver, CO",Program / Project Management,None,81
2024-04,Aeronautics,Remote-Eligible,Finance & Accounting,None,68
2024-04,Rotary & Mission Systems,"Grand Prairie, TX",Systems Engineering,Top Secret,95
2024-04,Aeronautics,Remote-Eligible,Cybersecurity,Top Secret,90
2024-04,Space,Remote-Eligible,Data Science & Analytics,None,60
2024-04,Space,"Orlando, FL",Systems Engineering,Secret,63
2024-04,Aeronautics,"Orlando, FL",Software Engineering,Secret,71
2024-04,Space,"Denver, CO",Mechanical Engineering,Top Secret,109
2024-04,Rotary & Mission Systems,"Fort Worth, TX",Systems Engineering,Secret,97
2024-04,Space,"Grand Prairie, TX",Electrical Engineering,Secret,89
2024-04,Aeronautics,"Sunnyvale, CA",Data Science & Analytics,Secret,48
2024-04,Aeronautics,Remote-Eligible,Manufacturing Operations,Secret,85
2024-04,Rotary & Mission Systems,Remote-Eligible,Program / Project Management,Secret,82
2024-04,Aeronautics,"Orlando, FL",Systems Engineering,Top Secret,110
2024-04,Missiles & Fire Control,Remote-Eligible,Manufacturing Operations,Secret,103
2024-04,Space,"Fort Worth, TX",Manufacturing Operations,None,31
2024-04,Aeronautics,"Bethesda, MD",Cybersecurity,None,51
2024-04,Space,"Huntsville, AL",Systems Engineering,Secret,89
2024-04,Aeronautics,Remote-Eligible,Electrical Engineering,Top Secret,82
2024-04,Aeronautics,"Orlando, FL",Software Engineering,None,80
2024-04,Rotary & Mission Systems,Remote-Eligible,Systems Engineering,None,65
2024-04,Space,"Fort Worth, TX",Software Engineering,Secret,92
2024-04,Aeronautics,"Denver, CO",Program / Project Management,None,52
2024-04,Missiles & Fire Control,"Sunnyvale, CA",Electrical Engineering,Top Secret,116
2024-04,Corporate Shared Services,"Grand Prairie, TX",Program / Project Management,Public Trust,83
2024-04,Corporate Shared Services,"Fort Worth, TX",Program / Project Management,None,63
2024-04,Rotary & Mission Systems,"Huntsville, AL",Data Science & Analytics,Top Secret,108
2024-04,Rotary & Mission Systems,"Grand Prairie, TX",Mechanical Engineering,None,63
2024-04,Missiles & Fire Control,"Bethesda, MD",Software Engineering,Public Trust,56
2024-04,Space,"Sunnyvale, CA",Software Engineering,None,57
2024-04,Rotary & Mission Systems,"Grand Prairie, TX",Electrical Engineering,None,57
2024-04,Missiles & Fire Control,Remote-Eligible,Mechanical Engineering,None,65
2024-04,Aeronautics,"Fort Worth, TX",Mechanical Engineering,None,73
2024-04,Aeronautics,"Bethesda, MD",Program / Project Management,None,45
2024-04,Corporate Shared Services,"Bethesda, MD",Electrical Engineering,None,58
2024-04,Rotary & Mission Systems,"Sunnyvale, CA",Mechanical Engineering,Secret,101
2024-04,Rotary & Mission Systems,"Grand Prairie, TX",Mechanical Engineering,Secret,70
2024-04,Rotary & Mission Systems,"Fort Worth, TX",Systems Engineering,Secret,69
2024-04,Space,Remote-Eligible,Software Engineering,Public Trust,71
2024-04,Aeronautics,Remote-Eligible,Data Science & Analytics,Secret,92
2024-04,Aeronautics,"Orlando, FL",Systems Engineering,Top Secret,105
2024-04,Missiles & Fire Control,"Fort Worth, TX",Cybersecurity,Top Secret,123
2024-04,Rotary & Mission Systems,"Fort Worth, TX",Manufacturing Operations,None,71
2024-04,Space,"Fort Worth, TX",Systems Engineering,None,71
2024-04,Rotary & Mission Systems,"Huntsville, AL",Software Engineering,None,67
2024-04,Rotary & Mission Systems,Remote-Eligible,Systems Engineering,None,92
2024-04,Corporate Shared Services,"Orlando, FL",Systems Engineering,Secret,78
2024-04,Aeronautics,"Bethesda, MD",Electrical Engineering,Secret,52
