requisition_id,business_unit,location,skill_family,job_level,clearance_type,planned_start_month,priority
REQ-100001,Missiles & Fire Control,"Orlando, FL",Software Engineering,2,None,2026-04,Standard
REQ-100002,Space,"Fort Worth, TX",Software Engineering,1,None,2026-04,High
REQ-100003,Rotary & Mission Systems,"Huntsville, AL",Manufacturing Operations,4,Top Secret,2026-04,Standard
REQ-100004,Corporate Shared Services,Remote-Eligible,Mechanical Engineering,1,None,2026-04,Standard
REQ-100005,Space,"Orlando, FL",Systems Engineering,5,Secret,2026-04,Standard
REQ-100006,Space,"Grand Prairie, TX",Program / Project Management,2,Public Trust,2026-04,High
REQ-100007,Rotary & Mission Systems,"Grand Prairie, TX",Systems Engineering,5,Public Trust,2026-04,Critical
REQ-100008,Rotary & Mission Systems,"Fort Worth, TX",Cybersecurity,3,None,2026-04,High
REQ-100009,Aeronautics,"Orlando, FL",Data Science & Analytics,4,Secret,2026-04,Standard
REQ-100010,Corporate Shared Services,"Orlando, FL",Finance & Accounting,2,None,2026-04,High
REQ-100011,Rotary & Mission Systems,"Sunnyvale, CA",Supply Chain,5,Public Trust,2026-04,High
REQ-100012,Space,"Fort Worth, TX",Systems Engineering,6,Secret,2026-04,High
REQ-100013,Corporate Shared Services,"Huntsville, AL",Systems Engineering,6,TS/SCI,2026-04,Standard
REQ-100014,Rotary & Mission Systems,"Denver, CO",Data Science & Analytics,1,Top Secret,2026-04,Standard
REQ-100015,Aeronautics,"Bethesda, MD",Software Engineering,4,Secret,2026-04,Standard
REQ-100016,Space,"Huntsville, AL",Systems Engineering,4,Top Secret,2026-04,Critical
REQ-100017,Aeronautics,"Fort Worth, TX",Finance & Accounting,3,Public Trust,2026-04,High
REQ-100018,Space,"Bethesda, MD",Manufacturing Operations,5,None,2026-04,Critical
REQ-100019,Space,"Orlando, FL",Mechanical Engineering,3,None,2026-04,High
REQ-100020,Rotary & Mission Systems,"Sunnyvale, CA",Mechanical Engineering,2,None,2026-04,High
REQ-100021,Rotary & Mission Systems,Remote-Eligible,Finance & Accounting,2,Public Trust,2026-04,High
REQ-100022,Rotary & Mission Systems,"Huntsville, AL",Electrical Engineering,4,Secret,2026-04,Standard
REQ-100023,Aeronautics,Remote-Eligible,Finance & Accounting,5,Public Trust,2026-04,High
REQ-100024,Corporate Shared Services,"Sunnyvale, CA",Business Development,5,Secret,2026-04,High
REQ-100025,Missiles & Fire Control,"Denver, CO",Software Engineering,5,Secret,2026-04,Standard
REQ-100026,Rotary & Mission Systems,"Fort Worth, TX",Software Engineering,5,Public Trust,2026-04,High
REQ-100027,Aeronautics,"Sunnyvale, CA",Program / Project Management,2,Top Secret,2026-04,High
REQ-100028,Rotary & Mission Systems,"Sunnyvale, CA",Software Engineering,2,Secret,2026-04,High
REQ-100029,Corporate Shared Services,Remote-Eligible,Cybersecurity,3,None,2026-04,Critical
REQ-100030,Corporate Shared Services,"Fort Worth, TX",Systems Engineering,5,Secret,2026-04,Standard
REQ-100031,Rotary & Mission Systems,"Orlando, FL",Mechanical Engineering,3,Secret,2026-04,High
REQ-100032,Corporate Shared Services,"Orlando, FL",Software Engineering,6,Secret,2026-04,Standard
REQ-100033,Aeronautics,"Sunnyvale, CA",Data Science & Analytics,2,Secret,2026-04,Standard
REQ-100034,Space,"Orlando, FL",Mechanical Engineering,1,Secret,2026-04,Standard
REQ-100035,Space,"Denver, CO",Software Engineering,5,None,2026-04,Standard
REQ-100036,Rotary & Mission Systems,"Grand Prairie, TX",Cybersecurity,3,TS/SCI,2026-04,High
REQ-100037,Rotary & Mission Systems,"Denver, CO",Mechanical Engineering,5,Secret,2026-04,Critical
REQ-100038,Aeronautics,"Grand Prairie, TX",Systems Engineering,6,None,2026-04,Standard
REQ-100039,Rotary & Mission Systems,Remote-Eligible,Cybersecurity,1,None,2026-04,Standard
REQ-100040,Aeronautics,"Denver, CO",Cybersecurity,2,Secret,2026-04,High
REQ-100041,Corporate Shared Services,"Sunnyvale, CA",Software Engineering,5,Secret,2026-04,High
REQ-100042,Missiles & Fire Control,Remote-Eligible,Mechanical Engineering,2,TS/SCI,2026-04,Standard
REQ-100043,Missiles & Fire Control,"Grand Prairie, TX",Software Engineering,6,None,2026-04,Standard
REQ-100044,Aeronautics,"Denver, CO",Mechanical Engineering,6,Secret,2026-04,High
REQ-100045,Aeronautics,"Huntsville, AL",Software Engineering,6,Top Secret,2026-04,Standard
REQ-100046,Corporate Shared Services,"Huntsville, AL",Mechanical Engineering,5,Secret,2026-04,Standard
REQ-100047,Missiles & Fire Control,"Huntsville, AL",Manufacturing Operations,3,Secret,2026-04,Standard
REQ-100048,Missiles & Fire Control,Remote-Eligible,Systems Engineering,3,None,2026-04,Critical
REQ-100049,Corporate Shared Services,"Orlando, FL",Software Engineering,1,Secret,2026-04,Standard
REQ-100050,Aeronautics,"Denver, CO",Systems Engineering,6,Public Trust,2026-04,Critical
REQ-100051,Aeronautics,"Huntsville, AL",Data Science & Analytics,1,Secret,2026-04,Critical
REQ-100052,Rotary & Mission Systems,"Fort Worth, TX",Electrical Engineering,6,Public Trust,2026-04,Standard
REQ-100053,Aeronautics,"Bethesda, MD",Software Engineering,4,Top Secret,2026-04,Standard
REQ-100054,Space,"Fort Worth, TX",Software Engineering,4,Secret,2026-04,High
REQ-100055,Aeronautics,"Huntsville, AL",Manufacturing Operations,5,Top Secret,2026-04,High
REQ-100056,Aeronautics,"Huntsville, AL",Data Science & Analytics,5,Secret,2026-04,High
REQ-100057,Corporate Shared Services,"Bethesda, MD",Mechanical Engineering,5,Public Trust,2026-04,Standard
REQ-100058,Aeronautics,"Bethesda, MD",Manufacturing Operations,4,Public Trust,2026-04,Critical
REQ-100059,Rotary & Mission Systems,"Grand Prairie, TX",Program / Project Management,2,None,2026-04,Standard
REQ-100060,Corporate Shared Services,"Sunnyvale, CA",Manufacturing Operations,4,Secret,2026-04,High
REQ-100061,Corporate Shared Services,"Bethesda, MD",Systems Engineering,1,Top Secret,2026-04,Standard
REQ-100062,Space,"Bethesda, MD",Systems Engineering,2,None,2026-04,Standard
REQ-100063,Corporate Shared Services,"Fort Worth, TX",Software Engineering,5,None,2026-04,High
REQ-100064,Corporate Shared Services,"Fort Worth, TX",Cybersecurity,4,None,2026-04,Standard
REQ-100065,Space,Remote-Eligible,Electrical Engineering,2,None,2026-04,High
REQ-100066,Missiles & Fire Control,"Huntsville, AL",Mechanical Engineering,1,Secret,2026-04,Critical
REQ-100067,Missiles & Fire Control,"Sunnyvale, CA",Supply Chain,2,Top Secret,2026-04,Standard
REQ-100068,Corporate Shared Services,"Bethesda, MD",Manufacturing Operations,5,Public Trust,2026-04,Standard
REQ-100069,Corporate Shared Services,"Grand Prairie, TX",Mechanical Engineering,1,Secret,2026-04,High
REQ-100070,Aeronautics,"Denver, CO",Software Engineering,5,Top Secret,2026-04,Standard
REQ-100071,Corporate Shared Services,"Sunnyvale, CA",Mechanical Engineering,5,Top Secret,2026-04,Standard
REQ-100072,Space,"Bethesda, MD",Supply Chain,2,None,2026-04,High
REQ-100073,Missiles & Fire Control,"Denver, CO",Supply Chain,4,Public Trust,2026-04,High
REQ-100074,Corporate Shared Services,"Denver, CO",Electrical Engineering,2,TS/SCI,2026-04,Critical
REQ-100075,Aeronautics,"Huntsville, AL",Electrical Engineering,1,Top Secret,2026-04,High
REQ-100076,Aeronautics,"Sunnyvale, CA",Manufacturing Operations,2,Top Secret,2026-04,High
REQ-100077,Space,"Fort Worth, TX",Electrical Engineering,5,Top Secret,2026-04,Standard
REQ-100078,Aeronautics,"Sunnyvale, CA",Electrical Engineering,1,Secret,2026-04,Standard
